pc4,INWONER,GEM_HH_GR,AV5_HORECA,OAD,median_inc,cluster,level_zip
1011,9670.0,1.5,3681.2000000000003,6995.0,27500.0,3,1
1012,8420.0,1.4,3726.0,8458.0,24900.0,3,2
1013,21335.0,1.7,3317.1000000000004,6378.0,27200.0,2,3
1014,1745.0,1.9,2419.6,2901.0,40700.0,1,4
1015,14885.0,1.5,3708.3,11009.0,27500.0,1,5
1016,10915.0,1.5,3794.9,11324.0,28600.0,1,6
1017,12640.0,1.6,3792.7,9364.0,32200.0,3,7
1018,20920.0,1.6,3454.5,6899.0,27600.0,3,8
1019,18910.0,2.0,2526.2000000000003,4304.0,41100.0,1,9
1021,7110.0,1.8,866.5999999999999,2793.0,23800.0,3,10
1022,3125.0,2.2,650.5,2419.0,35000.0,3,11
1023,4675.0,2.0,169.3,2553.0,27900.0,1,12
1024,13185.0,2.2,133.6,2593.0,27900.0,1,13
1025,15295.0,1.9,320.5,2750.0,26400.0,1,14
1026,530.0,2.5,39.2,97.0,54100.0,2,15
1027,500.0,2.3,66.30000000000001,177.0,40800.0,2,16
1028,600.0,2.4,14.5,40.0,52800.0,2,17
1031,6395.0,1.9,1429.1,3066.0,24200.0,3,18
1032,5710.0,2.0,1197.1,2766.0,25200.0,1,19
1033,12465.0,1.8,220.2,2039.0,25300.0,2,20
1034,14610.0,2.2,326.7,2426.0,27100.0,3,21
1035,10550.0,2.3,138.7,1983.0,34400.0,1,22
1036,2295.0,3.0,250.3,2438.0,50500.0,1,23
1037,145.0,2.1,176.7,324.0,38115.6746031746,2,24
1041,10.0,2.287339268051434,227.39999999999998,100.0,38115.6746031746,3,25
1042,30.0,1.5,422.9,121.0,38115.6746031746,3,26
1043,770.0,1.1,1064.4,1912.0,38115.6746031746,2,27
1044,4266.434567901235,2.287339268051434,159.34573624194346,55.0,38115.6746031746,1,28
1045,80.0,1.1,7.199999999999999,49.0,38115.6746031746,2,29
1046,80.0,1.3,114.19999999999999,293.0,38115.6746031746,3,30
1047,30.0,1.7,35.2,87.0,29000.0,1,31
1051,13380.0,1.7,3386.3999999999996,8917.0,27800.0,3,32
1052,12395.0,1.6,3615.0,11494.0,26200.0,2,33
1053,16375.0,1.6,3696.5,11565.0,31500.0,1,34
1054,17210.0,1.6,3734.5,9822.0,25600.0,3,35
1055,20960.0,1.7,3088.2,6889.0,27300.0,3,36
1056,20245.0,1.7,3382.3,9926.0,26100.0,1,37
1057,17530.0,1.7,3487.8,10678.0,31500.0,1,38
1058,15885.0,1.7,3351.9,8023.0,28500.0,2,39
1059,6520.0,1.6,2376.9,5906.0,45000.0,1,40
1060,10150.0,2.5,206.8,3141.0,26300.0,3,41
1061,15190.0,2.1,2532.0,5635.0,26400.0,3,42
1062,12740.0,1.6,2185.7,5247.0,24800.0,2,43
1063,12790.0,2.1,1228.2,3773.0,24900.0,1,44
1064,17010.0,2.1,1275.3000000000002,3903.0,25000.0,3,45
1065,12140.0,1.9,1553.6,4166.0,36100.0,2,46
1066,18055.0,2.1,672.6,2873.0,27900.0,1,47
1067,19835.0,2.3,410.70000000000005,2718.0,25100.0,1,48
1068,16295.0,1.9,589.9000000000001,3697.0,27500.0,3,49
1069,26265.0,2.2,318.29999999999995,3969.0,43900.0,1,50
1071,12730.0,1.8,3792.7000000000003,7772.0,26500.0,2,51
1072,13745.0,1.5,3770.4,9985.0,25600.0,3,52
1073,13295.0,1.6,3681.0,11110.0,25000.0,2,53
1074,8295.0,1.6,3640.0,10696.0,34200.0,1,54
1075,10500.0,1.8,3441.7,7583.0,29200.0,2,55
1076,11325.0,1.7,2596.8,5084.0,53100.0,1,56
1077,9880.0,2.1,3481.1,5202.0,30000.0,1,57
1078,14845.0,1.7,3524.0,8505.0,27000.0,3,58
1079,14675.0,1.6,3170.6000000000004,5958.0,30300.0,3,59
1081,5345.0,1.7,982.0,2639.0,33100.0,3,60
1082,11865.0,1.7,1508.2000000000003,4030.0,25200.0,1,61
1083,7600.0,1.5,1478.5,3126.0,46000.0,3,62
1086,4205.0,2.6,140.5,1126.0,43600.0,2,63
1087,19525.0,2.5,42.900000000000006,1719.0,26400.0,3,64
1091,16935.0,1.7,3462.4,8654.0,25600.0,1,65
1092,9005.0,1.8,3188.7,8015.0,24700.0,2,66
1093,10185.0,1.7,3146.2,8636.0,26400.0,1,67
1094,12625.0,1.8,2897.8,8231.0,22900.0,1,68
1095,13695.0,1.7,2225.9,4701.0,14900.0,1,69
1096,4790.0,1.4,1908.3999999999999,2769.0,23400.0,2,70
1097,14570.0,1.7,2258.8,4615.0,33600.0,1,71
1098,15870.0,1.9,1973.9,4820.0,38115.6746031746,3,72
1101,95.0,1.1,193.6,1387.0,21100.0,1,73
1102,24170.0,1.8,196.7,3209.0,25400.0,3,74
1103,14275.0,1.9,171.60000000000002,3436.0,22800.0,1,75
1104,15185.0,1.9,156.39999999999998,3219.0,10500.0,3,76
1105,620.0,1.1,127.30000000000001,1500.0,27100.0,2,77
