name,INWONER,GEM_HH_GR,AV5_HORECA,OAD,median_inc,cluster,level_zip_x,globalChannel_fastfood,globalChannel_other,rating,pc4,level_zip_y,dv
Vijaya Restaurant,9670.0,1.5,3681.2000000000003,6995.0,27500.0,3,1,0,1,3.8,1011,1,OPERATIONAL
MOES eet- en drinklokaal,9670.0,1.5,3681.2000000000003,6995.0,27500.0,3,1,0,1,4.2,1011,1,CLOSED_PERMANENTLY
Kampai - Amsterdam,9670.0,1.5,3681.2000000000003,6995.0,27500.0,3,1,0,1,4.6,1011,1,OPERATIONAL
Cafe Stevens,9670.0,1.5,3681.2000000000003,6995.0,27500.0,3,1,0,0,4.4,1011,1,OPERATIONAL
Moop,9670.0,1.5,3681.2000000000003,6995.0,27500.0,3,1,0,0,4.5,1011,1,OPERATIONAL
Sea Palace Chinese Restaurant,9670.0,1.5,3681.2000000000003,6995.0,27500.0,3,1,0,1,4.1,1011,1,OPERATIONAL
Café De Gaeper,9670.0,1.5,3681.2000000000003,6995.0,27500.0,3,1,0,1,4.6,1011,1,OPERATIONAL
San Giovanni,9670.0,1.5,3681.2000000000003,6995.0,27500.0,3,1,0,1,2.9,1011,1,OPERATIONAL
Restaurant Lastage,9670.0,1.5,3681.2000000000003,6995.0,27500.0,3,1,0,1,4.5,1011,1,OPERATIONAL
pippers,9670.0,1.5,3681.2000000000003,6995.0,27500.0,3,1,0,1,4.3,1011,1,OPERATIONAL
Gastronomia Gianni Specialitá Liguri,9670.0,1.5,3681.2000000000003,6995.0,27500.0,3,1,0,1,4.1,1011,1,CLOSED_PERMANENTLY
Tony New York City Bagels,9670.0,1.5,3681.2000000000003,6995.0,27500.0,3,1,0,1,4.4,1011,1,OPERATIONAL
Sabroso,9670.0,1.5,3681.2000000000003,6995.0,27500.0,3,1,0,1,3.4,1011,1,OPERATIONAL
Café de Doelen,9670.0,1.5,3681.2000000000003,6995.0,27500.0,3,1,0,0,4.2,1011,1,OPERATIONAL
hemelse modder,9670.0,1.5,3681.2000000000003,6995.0,27500.0,3,1,0,1,4.3,1011,1,OPERATIONAL
Hummus House,9670.0,1.5,3681.2000000000003,6995.0,27500.0,3,1,0,1,4.4,1011,1,CLOSED_PERMANENTLY
Amstelhoeck,9670.0,1.5,3681.2000000000003,6995.0,27500.0,3,1,0,0,3.8,1011,1,OPERATIONAL
Eetcafé Blauwbrug,9670.0,1.5,3681.2000000000003,6995.0,27500.0,3,1,0,1,4.1,1011,1,OPERATIONAL
Puccini,9670.0,1.5,3681.2000000000003,6995.0,27500.0,3,1,0,1,4.5,1011,1,OPERATIONAL
De Staalmeesters B.V.,9670.0,1.5,3681.2000000000003,6995.0,27500.0,3,1,0,1,4.1,1011,1,OPERATIONAL
the Guardian Angel,9670.0,1.5,3681.2000000000003,6995.0,27500.0,3,1,0,0,4.4,1011,1,OPERATIONAL
Adesso Espresso,9670.0,1.5,3681.2000000000003,6995.0,27500.0,3,1,0,0,4.6,1011,1,OPERATIONAL
Mojo Japanese Kitchen,9670.0,1.5,3681.2000000000003,6995.0,27500.0,3,1,0,1,4.2,1011,1,OPERATIONAL
