name,globalChannel_fastfood,globalChannel_other,rating,pc4,level_zip,dv
Cote D'Azur,0,1,4.1,4524,1523,OPERATIONAL
PastaBar Undici,0,1,4.0,5241,1798,OPERATIONAL
Hangar 85,0,1,4.3,3011,836,CLOSED_PERMANENTLY
Café \'Het Bruine Paard\',0,0,4.1,1015,5,OPERATIONAL
Hapjes & Sapjes,0,1,4.3,6001,2153,OPERATIONAL
Eeterij de Jutberg,0,1,4.3,6957,2548,OPERATIONAL
Trinibra,0,1,4.6,7411,2716,OPERATIONAL
Restaurant Loocatie,0,1,4.4,1851,419,CLOSED_PERMANENTLY
Humphrey’s Restaurant Amersfoort,0,1,4.1,3811,1208,OPERATIONAL
Harvest Coffee Brewers,0,1,4.7,3011,836,OPERATIONAL
Cafetaria New York Berghem,0,1,4.1,5351,1864,OPERATIONAL
Sterrenwacht Schrieversheide,0,1,3.7,6414,2325,OPERATIONAL
Osteria Elpidio,0,1,4.5,2271,562,OPERATIONAL
Cafe Struik,0,0,4.3,1016,6,CLOSED_PERMANENTLY
lunchroom la baguette,0,1,4.5,4328,1435,OPERATIONAL
Ciao Bella Amsterdam,0,1,4.3,1017,7,OPERATIONAL
Restaurant Zoutsteen,0,1,4.3,2923,798,OPERATIONAL
Bakker Bart,0,0,4.2,8261,3134,OPERATIONAL
Restaurant You Hachi,0,1,4.4,2181,527,OPERATIONAL
Café Goossens,0,0,4.3,6511,2359,OPERATIONAL
Wok Restaurant Dragon City,0,1,3.9,5642,2002,OPERATIONAL
FJ Snacks,0,1,3.5,2222,539,OPERATIONAL
Benteng Indonesische Delicatessen,0,1,4.3,1071,51,OPERATIONAL
La Bontà,0,0,4.6,6041,2178,CLOSED_PERMANENTLY
Fondue Fabriek,0,1,5.0,2801,763,OPERATIONAL
Café Long John,0,0,4.1,1601,271,OPERATIONAL
Mikaku Hillegom,0,1,4.4,2181,527,OPERATIONAL
Pizzeria Bij de buren van Pieter,0,0,3.3,9968,4040,OPERATIONAL
Cafetaria \'De Papegaai\',0,0,4.4,4386,1464,OPERATIONAL
Gaycafé De Roze Beurs,0,0,4.4,2312,580,OPERATIONAL
Da Pasquale,0,1,3.9,3068,881,OPERATIONAL
La Famiglia,0,1,4.0,1811,395,OPERATIONAL
Grand café Off Course,0,1,4.2,8255,3132,OPERATIONAL
Gasterij 't Tolhuis,0,1,4.5,4791,1629,OPERATIONAL
Restaurant De Trijehoek,0,1,4.2,8408,3224,CLOSED_PERMANENTLY
Het tuinterras,0,1,3.8,1069,50,OPERATIONAL
UwBartender.nl,0,0,4.263829223017799,3071,883,OPERATIONAL
Hoha Asian Lunchroom,0,1,4.0,5911,2111,OPERATIONAL
Bezorgrestaurant De Beren Vlaardingen en Schiedam,0,1,3.0,3135,919,OPERATIONAL
Herberg de Engel,0,1,4.4,6669,2444,OPERATIONAL
Restaurant & Zalencentrum Wielens V.O.F.,0,1,4.4,7846,2940,OPERATIONAL
Middeleeuws Restaurant 'Bij D'n Open Haard',0,1,4.4,7201,2637,CLOSED_PERMANENTLY
Pollevie Bar & Kitchen,0,1,4.4,5223,1789,OPERATIONAL
Weerter Bazaar,0,1,4.1,6001,2153,OPERATIONAL
Snackbar Corner Inn,0,1,3.1,1053,34,OPERATIONAL
Café 't Baarsje,0,0,4.1,5145,1768,OPERATIONAL
Siri Thai,0,1,4.6,2311,579,OPERATIONAL
Pitnick,0,1,4.8,4325,1432,OPERATIONAL
Cafe Restaurant Snackbar De Pyramide Opmeer,0,1,3.9,1716,338,OPERATIONAL
Restaurant Hense Koeëb,0,1,4.3,6039,2177,OPERATIONAL
Grand Cafe Tavenu,0,1,4.1,4328,1435,OPERATIONAL
Secret Story Of 22,0,0,4.4,6041,2178,OPERATIONAL
Bakker Bart,0,0,4.0,5038,1714,OPERATIONAL
Red Roses & Tortillas,0,0,4.6,2611,698,OPERATIONAL
Pizzeria Venezia,0,0,3.9,1791,388,OPERATIONAL
IL-GUSTO,0,0,4.2,1068,49,OPERATIONAL
Restaurant en Galerie Kruiden en Jasmijn,0,1,4.5,4285,1413,OPERATIONAL
Saranne,0,1,4.5,5061,1730,OPERATIONAL
Domino's,0,1,3.7,1072,52,OPERATIONAL
Kitchen & Bar Van Rijn B.V.,0,1,4.2,1017,7,OPERATIONAL
Grand Café Valerius,0,1,4.1,1985,461,OPERATIONAL
Cafe de Kroeg,0,1,3.8,6811,2483,CLOSED_PERMANENTLY
The Smell of Coffee,0,0,3.7,3072,884,CLOSED_PERMANENTLY
"Stoom , station Middelburg exploitatie",0,1,4.2,4337,1442,OPERATIONAL
Hof van Rozenburg,0,1,4.1,3181,938,CLOSED_PERMANENTLY
Rembrandt aan Zee,0,1,3.9,1865,424,CLOSED_PERMANENTLY
Café Koffiehuis De Schaapskooi,0,0,4.3,1073,53,OPERATIONAL
V.O.F. Café Ligthart,0,0,4.4,4926,1693,OPERATIONAL
Kwalitaria Tra,0,1,4.1,5051,1724,CLOSED_TEMPORARILY
Zandberg Buffet,0,1,4.085146853146845,4836,1651,CLOSED_PERMANENTLY
Porto Fino,0,1,4.0,1506,253,OPERATIONAL
Gewoon Lekker Eten!,0,1,4.5,5825,2087,OPERATIONAL
Jorink De Echte Bakker - Bakkerij - Lunchroom - Koffiecafé,0,1,4.3,8102,3078,OPERATIONAL
Swych,0,1,5.0,1012,2,CLOSED_PERMANENTLY
Pizzeria Mangia E. Bevi,0,0,4.5,9781,3938,OPERATIONAL
Cyclehub,0,0,4.0,4332,1437,OPERATIONAL
Tandr,0,1,4.3,2511,644,OPERATIONAL
Burgermeester | de Pijp,0,1,4.3,1072,52,CLOSED_PERMANENTLY
Deniz Döner Kebab & Shoarma,0,1,3.3,1404,196,OPERATIONAL
Ippin,0,1,4.2,2265,559,CLOSED_PERMANENTLY
Grieks Specialiteitenrestaurant Akropolis,0,1,4.4,2251,551,OPERATIONAL
Eethuis Yeni Lezzet,0,1,4.7,3073,885,OPERATIONAL
Gastrobar de Moor,0,1,4.1,4611,1562,OPERATIONAL
Broodje Regio,0,1,4.0,7554,2789,CLOSED_PERMANENTLY
Restaurant Meliefste,0,1,4.9,4471,1499,OPERATIONAL
Oloroso,0,1,3.7,2311,579,CLOSED_PERMANENTLY
Doetinchems Meisje,0,1,4.2,7001,2567,CLOSED_PERMANENTLY
McDonald's,0,1,3.8,5611,1982,OPERATIONAL
Restaurant De Zwarte Haan,0,1,4.3,9079,3557,OPERATIONAL
Porto Maurizio,0,1,4.4,6093,2202,OPERATIONAL
Het Hooihuis,0,1,4.4,4703,1596,OPERATIONAL
Peking,0,1,4.3,1272,135,OPERATIONAL
Restaurant Adam,0,1,4.7,1054,35,OPERATIONAL
The snack bar Rhynenburch,0,1,4.3,2394,612,OPERATIONAL
Café Restaurant de Vereniging,0,1,4.1,6661,2438,OPERATIONAL
La Vallade,0,1,4.5,1097,71,OPERATIONAL
Lunchexpress Zaltbommel,0,0,4.3,5301,1833,OPERATIONAL
Tearoom the Struyck,0,0,4.4,4812,1635,OPERATIONAL
Le Sommet,0,1,3.8,4506,1515,OPERATIONAL
Toko Benji,0,1,4.2,2251,551,OPERATIONAL
Foodhall Mout,0,1,4.2,1211,115,OPERATIONAL
Petit Restaurant Zalencentrum Celavie B.V.,0,1,4.0,1724,344,OPERATIONAL
Restaurant - catering De Haven,0,1,3.8,9206,3626,CLOSED_PERMANENTLY
Cafe Old Dutch,0,0,1.0,5554,1970,CLOSED_PERMANENTLY
Subway,0,1,4.1,6221,2260,OPERATIONAL
Café de Rosser,0,1,4.2,2202,531,OPERATIONAL
W.E.G. Barten Den Bosch B.V.,0,0,5.0,5222,1788,OPERATIONAL
Linke Loetje,0,1,4.5,1741,352,OPERATIONAL
Restaurant Brink 15,0,1,4.1,9301,3680,OPERATIONAL
BeanBrothers,0,0,4.7,5611,1982,OPERATIONAL
Porto Cervo,0,1,4.4,1315,146,CLOSED_PERMANENTLY
Bamboo Inn - Chinees restaurant,0,1,4.1,5552,1968,OPERATIONAL
Monopoly Burger,0,1,4.3,1053,34,OPERATIONAL
Barista Cafe Wilhelminaplein,0,0,4.5,3072,884,OPERATIONAL
Wijnbar Grapps,0,0,4.5,3201,948,OPERATIONAL
Café Frappant,0,0,4.1,5258,1814,OPERATIONAL
Lo Stivale,0,1,4.1,9712,3896,OPERATIONAL
Borasterie,0,1,4.085146853146845,6598,2404,CLOSED_PERMANENTLY
Kampai Sushi,0,1,4.0,8261,3134,OPERATIONAL
C&E catering De Tempel,0,0,4.6,5628,1996,OPERATIONAL
Eetcafe Kim,0,1,4.0,1076,56,CLOSED_PERMANENTLY
Café Het Meisje,0,0,3.0,9711,3895,CLOSED_PERMANENTLY
Balkan Restaurant Makedonia,0,1,4.6,9671,3873,OPERATIONAL
Twins Burgergrill,0,1,3.5,6191,2249,OPERATIONAL
't Swaantje,0,0,3.8,6595,2402,OPERATIONAL
Café-Zaal Kerkzicht,0,1,4.4,5392,1890,OPERATIONAL
Restaurant De Basiliek,0,1,4.7,9901,3989,OPERATIONAL
Taco Mundo Almere,0,1,2.8,1316,147,OPERATIONAL
Vis Atelier,0,1,4.4,1251,130,OPERATIONAL
Aqua Tapasbar & Lounge,0,1,3.5,1221,123,CLOSED_PERMANENTLY
Playerz Dinner Dance,0,1,4.085146853146845,5611,1982,CLOSED_PERMANENTLY
Oriëntaals Specialiteiten Restaurant Hu Dynasty,0,1,4.3,7678,2855,OPERATIONAL
Gereghthof,0,1,4.1,5263,1817,OPERATIONAL
Japans restaurant Towani,0,1,4.2,6301,2299,CLOSED_PERMANENTLY
DOK6 Horeca,0,1,4.3,5981,2144,OPERATIONAL
Cafe-zaal 't Tapperijke,0,0,4.0,4921,1691,OPERATIONAL
Soepp,0,1,4.7,1811,395,OPERATIONAL
Restaurant Jaffo,0,1,4.3,3051,867,OPERATIONAL
Italiaans Restaurant la Brocca,0,1,3.9,1703,331,OPERATIONAL
Tabaronde BV,0,0,4.0,1813,397,OPERATIONAL
Bar \'La Cave\',0,0,3.1,3016,841,OPERATIONAL
Café Yverda Zwaluwbar,0,0,3.9,2103,494,OPERATIONAL
Restaurant 't Fust,0,1,4.3,2311,579,OPERATIONAL
Restaurant Populair,0,1,4.4,6041,2178,OPERATIONAL
Eetcafé De Taveerne,0,1,4.1,3901,1261,OPERATIONAL
Restaurant Boszicht,0,1,4.2,5993,2151,OPERATIONAL
Chinees-Indisch Restaurant Mei Wah,0,1,4.0,4813,1636,OPERATIONAL
Chicken And Meat Grill House,0,1,4.3,2761,761,OPERATIONAL
Poolcafe Corner Pocket,0,0,4.3,5211,1782,OPERATIONAL
jing'an fast food,0,1,4.085146853146845,3512,1089,CLOSED_PERMANENTLY
Sorrento Italiaans Restaurant,0,1,4.4,8232,3120,OPERATIONAL
Il Sogno,0,1,4.4,3764,1191,OPERATIONAL
Five Guys,0,1,4.1,5611,1982,OPERATIONAL
Mississippi Bar Kitchen,0,1,4.2,1091,65,CLOSED_PERMANENTLY
Kaffee Lambiek,0,1,4.1,5041,1715,OPERATIONAL
Isobar,0,0,4.0,1013,3,OPERATIONAL
Staring at Jacob,0,1,4.5,1054,35,OPERATIONAL
Mario's Pizza Doner World,0,1,4.0,2037,482,OPERATIONAL
Caffè Gusto,0,1,4.1,6301,2299,CLOSED_PERMANENTLY
Eetcafe de Veldhoek,0,1,4.4,7255,2666,OPERATIONAL
Mo & Co Broodjesbezorgservice,0,1,3.7,8072,3063,OPERATIONAL
Meer Enkhuizen,0,1,4.3,1601,271,OPERATIONAL
Haarlems bakcafe,0,1,4.1,2012,465,OPERATIONAL
Subway,0,1,3.7,2521,652,OPERATIONAL
Konbu Street Food,0,1,4.1,9711,3895,OPERATIONAL
Cafetaria Biej de Blawwe,0,0,4.0,6101,2207,OPERATIONAL
De Leeren Lampe Raalte,0,1,4.2,8102,3078,OPERATIONAL
Café-Zalencentrum De Kolk B.V.,0,0,4.5,6685,2455,OPERATIONAL
Borsalino,0,1,4.3,2517,650,OPERATIONAL
Gewoon Anders,0,1,4.0,3995,1295,OPERATIONAL
Lunchroom-restaurant 't Zunneke,0,1,4.3,5711,2046,OPERATIONAL
Gembira,0,1,4.5,6221,2260,OPERATIONAL
Grand Café Mikey's,0,1,4.0,8302,3152,CLOSED_PERMANENTLY
Crêpes & Smoothies,0,1,4.4,7411,2716,CLOSED_PERMANENTLY
Café D'n Egelantier,0,0,4.5,5711,2046,OPERATIONAL
Il Tramezzino,0,1,4.5,1013,3,OPERATIONAL
Heegeneerke,0,0,5.0,6228,2267,OPERATIONAL
Cafetaria Sint Anna Family,0,1,4.6,6524,2365,OPERATIONAL
Brut de mer,0,1,4.5,1072,52,OPERATIONAL
De Pianobar B.V.,0,1,4.3,2671,724,OPERATIONAL
Nieuw China Leiden,0,1,4.1,2311,579,OPERATIONAL
Dorpshuis Beatrix,0,1,4.3,6677,2451,OPERATIONAL
Huize Maas,0,1,4.1,9711,3895,OPERATIONAL
't Suppiershuysinghe,0,0,4.5,2311,579,OPERATIONAL
Doppio Espresso Zoetermeer,0,0,3.8,2711,737,OPERATIONAL
Mahanakorn,0,1,3.9,3511,1088,OPERATIONAL
AnyTyme de Koemarkt,0,1,4.2,9269,3661,OPERATIONAL
Gasterie SIGO,0,1,4.6,6107,2211,CLOSED_PERMANENTLY
FoodAnDrink,0,1,4.4,3214,959,OPERATIONAL
Cafetaria Ter Maat,0,1,4.3,7605,2818,OPERATIONAL
Nieuw \'Tin Long\',0,1,4.1,2561,674,OPERATIONAL
Café Kort Dag,0,0,4.8,4301,1417,OPERATIONAL
Feestcafé De Twee heeren,0,0,3.5,8011,3031,CLOSED_PERMANENTLY
Café Memory,0,0,4.3,7606,2819,OPERATIONAL
Layali Alsham,0,1,4.4,2511,644,OPERATIONAL
Cafetaria 't Rond,0,1,4.263829223017799,4285,1413,OPERATIONAL
Klein Amerika,0,1,4.4,4861,1666,OPERATIONAL
Snackbar \'De Markt\' V.O.F.,0,1,4.6,9203,3623,OPERATIONAL
Restaurant Fusia,0,1,4.2,5751,2057,OPERATIONAL
Toko Tante Annie,0,1,4.5,1702,330,OPERATIONAL
Ei8ht Food & Drinks,0,1,4.0,3861,1243,OPERATIONAL
Restaurant Long Pura,0,1,4.1,1016,6,OPERATIONAL
Café de Luna,0,0,4.2,9711,3895,OPERATIONAL
Kop Van Jut Eetcafe - restaurant,0,1,4.3,1017,7,OPERATIONAL
De Eetkamer,0,1,4.4,5051,1724,OPERATIONAL
