Vijaya Restaurant,1
MOES eet- en drinklokaal,2
Kampai - Amsterdam,1
Cafe Stevens,1
Moop,1
Sea Palace Chinese Restaurant,1
Café De Gaeper,1
San Giovanni,1
Restaurant Lastage,1
pippers,1
Gastronomia Gianni Specialitá Liguri,2
Tony New York City Bagels,1
Sabroso,1
Café de Doelen,1
hemelse modder,1
Hummus House,2
Amstelhoeck,1
Eetcafé Blauwbrug,1
Puccini,1
De Staalmeesters B.V.,1
the Guardian Angel,1
Adesso Espresso,1
Mojo Japanese Kitchen,1
Bagels & Beans,3
Broodje Valk,2
Restaurant Olijfje,1
SkyLounge Amsterdam,1
Stadscafé Oosterdok (voorheen B&B Lunchroom),2
Grand Café 1884,1
Greetje,1
Thais Restaurant Me Naam Naan,2
Café Bern,1
Captein & Co,1
Lunchcafé Waterloo,1
Café Restaurant Orff,1
& moshik,2
Café 't Hooischip,1
Choux,1
Maiko Fusion Food,1
De Witte Zwaan,1
Restaurant éénvistwéévis Amsterdam,1
\'Krua Thai\' Classic,1
il Sogno,1
Morena aan de Amstel,1
CoffeeCompany Oosterdok,1
Powerzone,1
Kilimanjaro Restaurant,1
PANCAKES Amsterdam at the IJ,3
Eastwood Beer & Grill,1
Nam Kee,1
Hiding In Plain Sight,1
Piccolo Mondo,1
Pizzeria Bella Riva,2
Frenzi,1
Geisha,1
San Francisco Sandwich Company,1
Raan Phad Thai 2,1
Noah's Arq,1
Cafe Pollux,1
De Hapjeshoek,1
Van Beeren,1
Cafe Scharrebier,1
NEMO Museumrestaurant,1
Cafe Piazza,1
Soup en Zo,1
Restaurant Looks,2
Eetcafé 't Tuinfeest,1
Cafe Tisfris,1
Ristorante Italia Oggi,1
Café Fonteyn,1
OCHA Thai Restaurant,1
Rembrandt Corner,1
Café Cuba,1
Coffee Company,1
Porto Fino,1
Gebr. Hartering,1
Swych,2
Maximas,1
Café \'Oost-West\',2
El Asador,1
Croque Madame,1
Vlaamse Frites Snackland,1
Tavola Calda Caprese,1
Famous Burger,1
House Bar,2
Alberto's Carreta,2
Friet Point,1
Del Posto,2
Mena Gringo,2
LUCY'S cheesecakes,1
De Stoof,1
Mo 'Better Entertainment B.V.,1
Restaurant Het Melkmeisje,1
Café \'Wiener\',1
Bhatti Pasal - Authentic Nepalese Food,1
V.O.F. La Pampa,2
Nude Burger Club,1
De Koningshut,1
mr. Tom B.V.,1
La Tosca,1
Terpentijn,1
Lunchcafé Luna,2
Temple Bar,1
Ms. Crumbs,2
Het Groene Paleis,1
't Nieuwe Kafé,1
La Piazza,1
De Bakkerswinkel,1
The Grasshopper,1
Hasta la Pasta,1
McDonald's,1
The Poolbar,1
Moeke’s,1
TerraZen Centre,1
Caldi e Freddi,1
Cafe de Barones,1
Tomaz,1
Beer Tasting Room In The Wildeman,1
Mr.Tom Snackbar,1
Cafe Restaurant Kapitein Zeppos,1
Café Mooy,1
Café Oporto,1
New Dorrius Restaurant & Bar,2
Cafe Bredero,1
Café STOCK,1
Wing Kee,3
Café 't Gasthuys,1
Kobe House,2
Barraka Coffeeshop,1
Le Nouveau Riche,2
"Moederskeuken: kookworkshop, kookcursus Amsterdam",1
Liquid,1
Cormet Catering UvA,2
Restaurant At James,1
Bloemenbar,1
Cafe de Kroegtijger,1
NAKED espresso Warmoesstraat,1
Restaurant Bougainville Amsterdam,1
Mynt Grand Café Lounge,2
The Alley,2
Café Dijk 120,1
Mister Meatball,1
The Red Boot,1
Cafe Aen't Water,1
Croissanterie Outmayer,1
van Kerkwijk,1
Café Belgique,1
Down Town Burger,1
Nam Kee,1
Lost in amsterdam,1
Café Karpershoek,1
La Madonna,1
Melly’s Juices & Sandwiches,1
Dante,1
Cannibale Royale,1
Anna,2
Proeflokaal 't Kelkje,1
Sweetella,1
De Nissen,2
La Zoccola del Pacioccone,1
Grizzly American Restaurant,1
VIC's BAR,1
Broodbar,1
Café Palace,1
Restaurant Olivar,1
the fly,1
Belushi's,3
Rodizio,2
Jewel Dinner Cruise,1
Restaurant LaSantaMaria International Dinner,1
