Restaurant Bolyari,1
Cafetaria 't Passantje,1
Kang Wah,1
Grand Café Buiten de Baan,1
De Meerpaal,2
Lunchroom Bart,1
Jeffrey Grill-Restaurant,1
George LA,1
Slagerij Jan Kater Julianadorp,1
La Cubanita,1
Aton,1
The Bourbon Room,1
Bella Italia Pizzeria,1
the Burght,1
Chinees Restaurant China Town,1
Bakken met Plaizier,1
't Pastorieke,1
Café Billiards Exhibition,1
CastellumCafé,1
DownUnderBeach,1
Tapasbar Fuego,1
Restaurant Le Mirage,1
De Domburgsche Bier- en Melksalon,1
Hogeschool Utrecht - STREAT,1
Van Eldijk Groothandel in groente en fruit,1
Grizzly American Restaurant,1
Bar Dancing The Champ,2
Café La Luna,2
"Café-Restaurant-Expo ""Madrid""",1
Gauchos Grill,1
Café Parkzicht,1
Bal Vismeesters,1
Tijger & de Vis,2
The Poolbar,1
Slagerij-eeterij Piet Scholten,1
Grand Café Majesty,1
Easy Wok Salads,1
Café Karpershoek,1
Stads-Koffyhuis,1
Tim Hong,1
Café Het Bolwerk,1
Surinaams Eethuis Ameerah,1
Stadslandgoed de Kemphaan,1
Café In den Sleutel,1
Gasterij Dorpsgenot,1
Cafetaria Lunchroom Celine,1
Burgerme Rotterdam-zuid,1
the Baron,1
Schnitz and Ribs,2
Amy's Frozen Yoghurt Rotterdam,1
Luxe Italia,1
Escobar,1
Restaurant ‘t Boothuis,1
Het Genoegen,1
De Wasvenboerderij,1
Restaurant de Sous-Chef,2
LEUT | Coffee and tea IJsselstein,1
De Robbenjager,1
Griekse Taverna Broersvest,1
Eethuisje De Posthoorn,1
Counter Sanders,1
Foodmaster Vlissingen,1
Snackbar de Mert,1
Hartje Oost,1
't Havenhoofd,1
Lunchroom Noony's,1
de MaaltijdManager,1
Restaurant Moulin Fou,1
Amadore Café Restaurant Het Postkantoor,1
Sushi Matcha,1
Het Brabantse Land,1
FEBO Drive,1
Olt Ghiessen,1
Café Dutch Inn,1
Cafetaria Eethuis De Buurman,1
Mediamatic ETEN,1
LEEF Tapas Nootdorp,2
Oriental Express Rotterdam 東方 美食,1
Lunchroom Knus,2
Sylt Seafood Bar,2
Asya Döner & Kebab,1
Suri Lounge,1
Studio 't Veurhuis,1
Pieke Potloed,1
NOVO,1
Proeflokaal Sijgje Leiden,1
Garage 3 - Coffee & More,1
Landgoed Hezenberg,1
Tomaz,1
Pizza en Pizza,1
Kong's Garden,1
Forno's,2
De Waegh,1
Senders en Co,1
Pim Coffee Sandwiches & Vintage,1
Buffet van Odette,1
Lounge & Dance Café Seven,2
The Old Mole,1
Franky's cafeteria,1
Chocolate Company Café Batavia Stad,1
Basiliek,1
Cafeteria \'The Arkel\' Achterveld,1
Café De Noordse Plassen,2
Statie,1
Cafe 't Pintje,1
Fjord Eat & Drink,1
Pizzeria Casareccia,1
Café de Bossche Poort,1
Wokrestaurant De Doele,1
Ch. Ind. Sp. Rest. Kota Radja,1
Spirit Amsterdam,1
Délifrance,1
Mr Miyagi Sushibar,1
Hemels,1
Bakker Bart,1
Délifrance Heerlen,1
De Canterlanden - cafetaria • eetcafé • catering,1
Grand Café de Gracht,1
Eetcafé Oud Wielder,2
Tabakspeciaalzaak Van Lookeren,1
Rimburgerhoeve,1
De Millem,1
Cafetaria Stan & Ollie,1
Bab Mansour,1
Le Mans,1
Jay's biercafe Tilburg,2
Piet Friet Kazerneplein,1
Nolet's Vistro,1
Poké Perfect,1
Kids-City B.V.,1
Grillroom Shoarma \'Hilal\',1
Afhaalcentum Phuong Loan,2
Café AMOI,1
Double FF,1
GUSTO-040,1
Café Mustang Sally,2
Selera Anda,1
Toost Drink and Dine,1
Delifrance,2
Azië,1
Omganck,1
Restaurant Pasta & Pesto,1
Cafetaria The Corner,1
El Pueblo,1
AnyTime Cafetaria t Centrum,1
Herry's Bar,1
Koffiehuis Het Wakend Oog,1
Grillroom Pizzeria Dolfijn 🐬,1
Délifrance,2
VerbindingscentrumDeFontein,1
Bon Vivant,1
Alex's Snackcorner,1
Cafe Potbelly,1
Boerderij Denissen,1
Indonesia Indah,1
De Wok van Herpen,2
Lunchroom Effe Anders,1
L' isola,2
Manta,1
Cafe Oud Molenberg,1
Restaurant Ekkelenkamp Ommen,1
Gasterij De Os en het Paard,1
Henry's Eten & Drinken,1
Het Wapen van Someren,2
La Vida,1
Twins Burgergrill,1
De Blauwe Vlinder,1
Café Tinus,1
Koffie en Eethuis \'De Gelderse Poort\',1
De Kleischuur,1
Restaurant Oud Kempen,1
HeideCafé d’n Vrije vogel,1
Johnny's Burger Co.,1
House Bar,2
Golden Peacock,1
Cornelis Koffietentje,1
Pizzeria Eetcafé De Rode Kater,1
Martin's Broodjes en Boontjes,1
HeerlijkZo,1
FEBO,1
Hong Kong,1
Mister Pita | Heerlijk Grieks Genieten!,1
LOOF,1
nationaal militair museum,1
Cafe-restaurant jachthaven,1
Shoarma Charly,1
Kebab Point,1
Café Schilders,1
Keurslagerij Joost van der Veen,1
Doppio Espresso Assen,1
Restaurant Dracula,2
Grenskiosk Maalbroek,1
Guanaja Chocoladebar,2
Pizzeria Pingjum,1
Bar 33,1
Barista Cáfe,1
Eetcounter De Korre,1
Monk Bouldergym Amsterdam,1
Lunchcafé Jots,1
V.O.F. Verhoeven Nispen,1
La Chiabatta,1
Restaurant Nest,1
Sinai Leiden,1
Marokkaanse Restaurant Safir,1
Party Center Wijnand van Delft,1
Karan's Foodservice Alphen aan den Rijn,1
Grand Café Effe,1
Ristorante Pizzeria Lungomare,1
Jewel Dinner Cruise,1
Tropical Brasil restaurant bar,2
Brancatelli,1
Salsa shop,3
De Stadshut,2
Belplast Barneveld B.V.,1
Zoet & Hartig Haarlemmerdijk,1
BITES & NIGHTS B.V.,1
Restaurant Wok De Lange Muur,1
Villa on the Beach,1
Tapasbar El Pincho,1
Werkspoorcafé De Leckere,1
Golfbaan Landgoed Welderen,1
Tropico Restaurant & Bar,1
Boelie's Pub,2
De Wok I B.V.,1
Lunchcafé Plein 10,1
Lost in amsterdam,1
Argentijns Grillrestaurant Fierro,1
Meat@Valkenhof,1
Darah,1
Bhatti Pasal - Authentic Nepalese Food,1
Restaurant El Sultana,1
Mineral,1
Thuis bij Fien,1
Restaurant Hosokawa,1
Piccolo,1
Restaurant Apotheek,2
Restaurant Hof van Herstal,1
Toscana Ijssalon,1
De Lindenboom,1
Mediterraans Restaurant Alexanderos,2
Five Brothers Fat Xampanyeria West,1
Lunchcafe Intermezzo,1
Mokka Eten en Drinken,2
Grillroom Baba Drachten,1
ZWART,2
Sari Koering,1
De IJzeren Pot,1
Brazzerie Abrona,1
Jacobus Pieck Drink & Eetlokaal,1
Rhodos Restaurant,1
Roti Shop Fatima,2
Brouwershuis,1
Foe-Ho Chinees-Indisch Restaurant,1
Abrona 't Lichtpunt,1
Republic Moto Rotterdam,2
Vinnies - Restaurant/Bar,2
Kunst en cultuursalon Articum,1
Keurslager Theo Barten Ridderkerk,1
