pc4,INWONER_HH,P_MAN,P_VROUW,P_INW_014,P_INW_1524,P_INW_2544,P_INW_4564,P_INW_65PL,AV1_FOOD,AV3_FOOD,AV5_FOOD,OAD,P_NL_ACHTG,P_WE_MIG_A,P_NW_MIG_A,GEM_HH_GR,UITKMINAOW_HH,P_LINK_HH,P_HINK_HH,log_median_inc
1011.0,1.5027195027195026,0.5188630490956072,0.4811369509043928,0.07911065149948293,0.11323681489141674,0.33867631851085833,0.29317476732161324,0.17580144777662876,404.6,2383.8,3332.1000000000013,6995.0,60.0,30.0,20.0,1.5,0.11810411810411814,50.20000000000001,19.0,10.221941283654663
1012.0,1.412751677852349,0.5502079619726679,0.44979203802733214,0.05291319857312722,0.13852556480380498,0.5196195005945303,0.20392390011890607,0.08501783590963138,696.6,2467.100000000001,3371.5,8458.0,50.0,40.0,20.0,1.4,0.07046979865771813,56.1,14.6,10.122623082452801
1013.0,1.6892319873317498,0.4977736114366065,0.5022263885633935,0.11972820993439554,0.0859887535145267,0.36457357075913777,0.2853795688847236,0.14432989690721648,126.5,1486.1,2979.1000000000013,6378.0,50.0,20.0,20.0,1.7,0.1967537608867775,53.6,17.1,10.210972252284089
1014.0,1.9606741573033708,0.5358166189111748,0.4641833810888252,0.17478510028653296,0.06303724928366762,0.5100286532951289,0.20916905444126074,0.04297994269340974,26.0,445.8,2174.2,2901.0,60.0,20.0,10.0,1.9,0.16292134831460675,31.8,29.6,10.613983371430686
1015.0,1.515784114052953,0.50990930466913,0.49009069533087,0.08599261001007727,0.10480349344978164,0.3560631508229761,0.2875377897211958,0.1656029559959691,357.1,2270.9,3348.5,11009.0,60.0,30.0,10.0,1.5,0.12525458248472504,51.1,19.7,10.221941283654663
1016.0,1.498284145504461,0.5176362803481448,0.4823637196518553,0.0728355474118186,0.10123683005038936,0.3893724232707284,0.2693540998625744,0.16720109940448924,492.0,2661.3,3428.5,11324.0,60.0,30.0,10.0,1.5,0.10020590253946465,48.6,22.0,10.261161996807944
1017.0,1.5692116697703289,0.5253164556962026,0.4746835443037974,0.08979430379746836,0.12539556962025314,0.40308544303797467,0.2456487341772152,0.1360759493670886,331.8,2664.2,3432.7,9364.0,60.0,30.0,10.0,1.6,0.06765983860955928,41.7,27.199999999999996,10.3797217315325
1018.0,1.6736,0.5112332695984704,0.4887667304015296,0.10133843212237095,0.12380497131931165,0.3448852772466539,0.2827437858508604,0.14722753346080306,85.19999999999997,1769.7999999999997,3114.5,6899.000000000001,60.0,20.0,20.0,1.6,0.18600000000000003,50.20000000000001,19.3,10.22557105170524
1019.0,1.9718456725755995,0.5035704839989421,0.496429516001058,0.1483342147012163,0.10338445267054468,0.3093601269169751,0.34531993654151244,0.09360126916975142,20.8,447.00000000000006,2269.7000000000007,4304.0,60.0,20.0,20.0,2.0,0.15954118873826906,31.7,30.9,10.623763400484325
1021.0,1.8443579766536968,0.5126582278481012,0.4873417721518987,0.14767932489451474,0.11392405063291139,0.3537271448663853,0.2651195499296765,0.11954992967651198,27.6,100.8,793.5,2793.0,40.0,20.0,50.0,1.8000000000000003,0.32684824902723736,63.9,7.199999999999999,10.077440859659568
