,pc4,INWONER,MAN,VROUW,INW_014,INW_1524,INW_2544,INW_4564,INW_65PL,P_NL_ACHTG,P_WE_MIG_A,P_NW_MIG_A,AANTAL_HH,TOTHH_EENP,TOTHH_MPZK,HH_EENOUD,HH_TWEEOUD,GEM_HH_GR,UITKMINAOW,OAD,P_LINK_HH,P_HINK_HH,AFS_CAFE,AV1_CAFE,AV3_CAFE,AV5_CAFE,AFS_CAFTAR,AV1_CAFTAR,AV3_CAFTAR,AV5_CAFTAR,AFS_HOTEL,AV5_HOTEL,AV10_HOTEL,AV20_HOTEL,AFS_RESTAU,AV1_RESTAU,AV3_RESTAU,AV5_RESTAU,median_inc
0,1011.0,9670.0,5020.0,4655.0,765.0,1095.0,3275.0,2835.0,1700.0,60.0,30.0,20.0,6435.0,4245.0,1315.0,330.0,495.0,1.5,760.0,6995.0,50.2,19.0,0.1,116.8,555.0,732.7,0.2,109.0,609.4,861.0,0.2,349.1,400.0,464.4,0.1,178.8,1219.4,1738.4,27500.0
1,1012.0,8420.0,4630.0,3785.0,445.0,1165.0,4370.0,1715.0,715.0,50.0,40.0,20.0,5960.0,4095.0,1330.0,185.0,265.0,1.4,420.0,8458.0,56.1,14.6,0.1,183.7,574.7,737.9,0.1,199.9,624.5,874.3,0.1,354.5,400.2,469.9,0.0,313.0,1267.9,1759.3,24900.0
2,1013.0,21335.0,10620.0,10715.0,2555.0,1835.0,7780.0,6090.0,3080.0,50.0,20.0,20.0,12630.0,7485.0,2595.0,955.0,1485.0,1.7,2485.0,6378.0,53.6,17.1,0.3,26.8,363.9,677.7,0.2,34.1,392.6,772.2,0.6,338.0,398.9,467.7,0.2,65.6,729.6,1529.2,27200.0
3,1014.0,1745.0,935.0,810.0,305.0,110.0,890.0,365.0,75.0,60.0,20.0,10.0,890.0,400.0,255.0,35.0,195.0,1.9,145.0,2901.0,31.8,29.6,0.9,3.8,104.1,504.1,0.5,12.1,137.3,583.5,0.4,245.4,400.1,470.6,0.5,10.1,204.4,1086.6,40700.0
4,1015.0,14885.0,7590.0,7295.0,1280.0,1560.0,5300.0,4280.0,2465.0,60.0,30.0,10.0,9820.0,6435.0,1950.0,490.0,860.0,1.5,1230.0,11009.0,51.1,19.7,0.1,81.5,551.1,737.3,0.2,85.2,582.3,870.3,0.3,359.8,400.5,473.5,0.1,190.4,1137.5,1740.9,27500.0
5,1016.0,10915.0,5650.0,5265.0,795.0,1105.0,4250.0,2940.0,1825.0,60.0,30.0,10.0,7285.0,4790.0,1555.0,325.0,535.0,1.5,730.0,11324.0,48.6,22.0,0.1,115.7,624.3,743.3,0.1,120.2,668.5,900.7,0.2,366.4,402.9,472.9,0.1,256.1,1368.5,1784.5,28600.0
6,1017.0,12640.0,6640.0,6000.0,1135.0,1585.0,5095.0,3105.0,1720.0,60.0,30.0,10.0,8055.0,5040.0,1810.0,320.0,785.0,1.6,545.0,9364.0,41.7,27.2,0.2,73.3,596.7,738.7,0.1,68.5,661.9,903.2,0.1,360.0,403.7,469.3,0.1,190.0,1405.6,1790.8,32200.0
7,1018.0,20920.0,10695.0,10225.0,2120.0,2590.0,7215.0,5915.0,3080.0,60.0,20.0,20.0,12500.0,7660.0,2575.0,775.0,1390.0,1.6,2325.0,6899.0,50.2,19.3,0.4,18.7,413.1,678.9,0.3,21.2,467.7,800.4,0.5,340.0,400.6,450.9,0.2,45.3,889.0,1635.2,27600.0
8,1019.0,18910.0,9520.0,9385.0,2805.0,1955.0,5850.0,6530.0,1770.0,60.0,20.0,20.0,9590.0,4150.0,2545.0,915.0,1910.0,2.0,1530.0,4304.0,31.7,30.9,0.8,3.4,101.3,518.2,0.3,6.4,129.3,595.1,0.8,256.5,391.9,441.1,0.3,11.0,216.4,1156.4,41100.0
9,1021.0,7110.0,3645.0,3465.0,1050.0,810.0,2515.0,1885.0,850.0,40.0,20.0,50.0,3855.0,2115.0,700.0,435.0,555.0,1.8,1260.0,2793.0,63.9,7.2,0.3,6.1,16.6,189.1,0.3,8.3,32.9,217.1,0.5,73.1,384.9,448.1,0.3,13.2,51.3,387.3,23800.0
10,1022.0,3125.0,1580.0,1545.0,735.0,260.0,1230.0,695.0,205.0,50.0,20.0,30.0,1395.0,540.0,265.0,145.0,435.0,2.2,240.0,2419.0,40.0,23.8,1.2,1.3,13.3,137.3,0.9,4.0,31.7,170.4,1.5,62.5,376.6,446.9,0.9,4.4,40.3,280.3,35000.0
11,1023.0,4675.0,2205.0,2470.0,790.0,410.0,1020.0,1460.0,1000.0,80.0,10.0,10.0,2320.0,965.0,565.0,280.0,500.0,2.0,515.0,2553.0,53.2,16.2,0.6,2.6,13.2,27.8,0.5,3.4,29.0,52.3,1.5,9.2,366.2,445.8,0.4,5.1,34.0,80.0,27900.0
