pc4,INWONER,INW_014,INW_1524,INW_2544,INW_4564,INW_65PL,P_NL_ACHTG,P_WE_MIG_A,P_NW_MIG_A,GEM_HH_GR,UITKMINAOW,OAD,P_LINK_HH,P_HINK_HH,AV5_CAFE,AV5_CAFTAR,AV5_HOTEL,AV5_RESTAU,median_inc
1011,9670.0,765.0,1095.0,3275.0,2835.0,1700.0,60.0,30.0,20.0,1.5,760.0,6995.0,50.2,19.0,732.7,861.0,349.1,1738.4,27500.0
1012,8420.0,445.0,1165.0,4370.0,1715.0,715.0,50.0,40.0,20.0,1.4,420.0,8458.0,56.1,14.6,737.9,874.3,354.5,1759.3,24900.0
1013,21335.0,2555.0,1835.0,7780.0,6090.0,3080.0,50.0,20.0,20.0,1.7,2485.0,6378.0,53.6,17.1,677.7,772.2,338.0,1529.2,27200.0
1014,1745.0,305.0,110.0,890.0,365.0,75.0,60.0,20.0,10.0,1.9,145.0,2901.0,31.8,29.6,504.1,583.5,245.4,1086.6,40700.0
1015,14885.0,1280.0,1560.0,5300.0,4280.0,2465.0,60.0,30.0,10.0,1.5,1230.0,11009.0,51.1,19.7,737.3,870.3,359.8,1740.9,27500.0
1016,10915.0,795.0,1105.0,4250.0,2940.0,1825.0,60.0,30.0,10.0,1.5,730.0,11324.0,48.6,22.0,743.3,900.7,366.4,1784.5,28600.0
1017,12640.0,1135.0,1585.0,5095.0,3105.0,1720.0,60.0,30.0,10.0,1.6,545.0,9364.0,41.7,27.2,738.7,903.2,360.0,1790.8,32200.0
1018,20920.0,2120.0,2590.0,7215.0,5915.0,3080.0,60.0,20.0,20.0,1.6,2325.0,6899.0,50.2,19.3,678.9,800.4,340.0,1635.2,27600.0
1019,18910.0,2805.0,1955.0,5850.0,6530.0,1770.0,60.0,20.0,20.0,2.0,1530.0,4304.0,31.7,30.9,518.2,595.1,256.5,1156.4,41100.0
1021,7110.0,1050.0,810.0,2515.0,1885.0,850.0,40.0,20.0,50.0,1.8,1260.0,2793.0,63.9,7.2,189.1,217.1,73.1,387.3,23800.0
1022,3125.0,735.0,260.0,1230.0,695.0,205.0,50.0,20.0,30.0,2.2,240.0,2419.0,40.0,23.8,137.3,170.4,62.5,280.3,35000.0
1023,4675.0,790.0,410.0,1020.0,1460.0,1000.0,80.0,10.0,10.0,2.0,515.0,2553.0,53.2,16.2,27.8,52.3,9.2,80.0,27900.0
1024,13185.0,2845.0,1770.0,4050.0,2975.0,1545.0,30.0,10.0,60.0,2.2,1595.0,2593.0,53.5,9.6,21.4,43.6,5.2,63.4,27900.0
1025,15295.0,2360.0,2085.0,4040.0,3730.0,3085.0,50.0,10.0,40.0,1.9,1785.0,2750.0,55.1,11.7,63.6,88.3,23.1,145.5,26400.0
1026,530.0,100.0,60.0,95.0,180.0,90.0,90.0,10.0,0.0,2.5,30.0,97.0,17.1,45.7,7.5,11.9,2.7,17.1,54100.0
1027,500.0,75.0,55.0,105.0,145.0,120.0,90.0,10.0,0.0,2.3,35.0,177.0,32.3,34.4,8.5,28.0,2.7,27.1,40800.0
1028,600.0,105.0,65.0,90.0,210.0,135.0,90.0,10.0,0.0,2.4,15.0,40.0,20.0,42.5,2.5,3.9,1.5,6.6,52800.0
1031,6395.0,1090.0,655.0,2380.0,1650.0,615.0,40.0,10.0,40.0,1.9,1010.0,3066.0,59.8,13.5,311.1,356.2,134.8,627.0,24200.0
1032,5710.0,1000.0,510.0,1770.0,1610.0,820.0,60.0,10.0,30.0,2.0,845.0,2766.0,59.6,9.6,260.0,296.5,104.7,535.9,25200.0
1033,12465.0,1605.0,1855.0,3720.0,3200.0,2085.0,60.0,10.0,30.0,1.8,1640.0,2039.0,56.7,9.5,36.0,67.6,9.4,107.2,25300.0
1034,14610.0,2795.0,1840.0,4045.0,3610.0,2320.0,40.0,10.0,50.0,2.2,1980.0,2426.0,55.1,11.2,56.4,95.2,13.7,161.4,27100.0
1035,10550.0,1950.0,1300.0,2540.0,3105.0,1650.0,60.0,10.0,30.0,2.3,1065.0,1983.0,41.5,21.8,21.0,45.8,7.0,64.9,34400.0
1036,2295.0,705.0,260.0,785.0,490.0,55.0,50.0,10.0,40.0,3.0,145.0,2438.0,23.1,36.7,39.6,79.7,8.5,122.5,50500.0
1037,145.0,20.0,10.0,15.0,65.0,30.0,80.0,10.0,10.0,2.1,15.0,324.0,,,48.7,56.8,4.8,66.4,
1041,10.0,,,,,,,,,,,100.0,,,54.2,77.2,16.7,79.3,
1042,30.0,,,10.0,10.0,,70.0,,,1.5,10.0,121.0,,,97.7,133.2,22.4,169.6,
1043,770.0,10.0,340.0,405.0,20.0,,20.0,50.0,30.0,1.1,60.0,1912.0,,,223.1,277.8,73.6,489.9,
1044,,,,,,,,,,,,55.0,,,,,,,
1045,80.0,,,25.0,45.0,5.0,50.0,40.0,10.0,1.1,15.0,49.0,,,1.8,3.2,0.1,2.1,
1046,80.0,5.0,35.0,25.0,10.0,,30.0,20.0,50.0,1.3,10.0,293.0,,,15.4,41.1,14.1,43.6,
1047,30.0,,,5.0,15.0,5.0,80.0,20.0,,1.7,,87.0,,,4.7,15.5,4.0,11.0,29000.0
1051,13380.0,1555.0,1305.0,5640.0,3685.0,1200.0,50.0,20.0,30.0,1.7,1510.0,8917.0,49.9,16.7,686.7,785.9,346.1,1567.7,27800.0
1052,12395.0,1260.0,1035.0,5360.0,3230.0,1505.0,50.0,20.0,20.0,1.6,1535.0,11494.0,51.6,17.3,717.6,844.4,358.2,1694.8,26200.0
1053,16375.0,1665.0,1490.0,7485.0,3850.0,1885.0,50.0,20.0,20.0,1.6,1800.0,11565.0,54.9,14.9,719.5,878.1,363.7,1735.2,31500.0
1054,17210.0,1955.0,1700.0,7585.0,4100.0,1875.0,60.0,30.0,10.0,1.6,1235.0,9822.0,44.4,24.5,722.4,890.2,365.0,1756.9,25600.0
1055,20960.0,2820.0,2665.0,9710.0,4040.0,1725.0,40.0,20.0,40.0,1.7,2470.0,6889.0,56.0,9.8,627.9,723.1,315.8,1421.4,27300.0
1056,20245.0,2565.0,2215.0,9455.0,4400.0,1615.0,50.0,20.0,40.0,1.7,3380.0,9926.0,52.6,13.9,675.0,793.0,341.5,1572.8,26100.0
1057,17530.0,2300.0,2165.0,7705.0,3790.0,1570.0,50.0,20.0,30.0,1.7,2125.0,10678.0,55.2,13.6,685.5,822.7,348.7,1630.9,31500.0
1058,15885.0,2165.0,1550.0,7395.0,3250.0,1525.0,60.0,20.0,20.0,1.7,1125.0,8023.0,43.2,22.7,639.5,794.9,331.6,1585.9,28500.0
1059,6520.0,745.0,765.0,3040.0,1430.0,540.0,50.0,20.0,20.0,1.6,700.0,5906.0,49.0,18.9,412.3,556.9,218.7,1189.0,45000.0
1060,10150.0,1725.0,1625.0,2275.0,3455.0,1070.0,40.0,10.0,50.0,2.5,760.0,3141.0,29.4,34.2,26.5,68.0,13.3,99.0,26300.0
1061,15190.0,2845.0,2790.0,5805.0,2705.0,1045.0,20.0,10.0,60.0,2.1,1985.0,5635.0,53.9,11.8,500.8,612.2,256.5,1162.5,26400.0
1062,12740.0,1560.0,2430.0,6105.0,1770.0,875.0,30.0,20.0,40.0,1.6,1200.0,5247.0,53.2,14.3,392.0,524.4,207.3,1062.0,24800.0
1063,12790.0,2555.0,1615.0,4320.0,2920.0,1380.0,20.0,10.0,60.0,2.1,1875.0,3773.0,60.3,8.3,244.5,320.6,81.9,581.2,24900.0
1064,17010.0,3145.0,2215.0,5460.0,4045.0,2135.0,30.0,10.0,60.0,2.1,2410.0,3903.0,59.5,11.0,248.1,331.3,95.2,600.7,25000.0
1065,12140.0,2190.0,1830.0,3840.0,2515.0,1765.0,30.0,20.0,50.0,1.9,1415.0,4166.0,59.5,9.4,279.5,377.6,146.4,750.1,36100.0
