,pc4,INWONER,P_MAN,P_VROUW,P_INW_014,P_INW_1524,P_INW_2544,P_INW_4564,P_INW_65PL,AV1_FOOD,AV3_FOOD,AV5_FOOD,OAD,P_NL_ACHTG,P_WE_MIG_A,P_NW_MIG_A,GEM_HH_GR,UITKMINAOW,P_LINK_HH,P_HINK_HH,log_median_inc
0,1011,9670.0,0.5188630490956072,0.4811369509043928,0.07911065149948293,0.11323681489141675,0.33867631851085833,0.29317476732161324,0.17580144777662876,404.6,2383.8,3332.1000000000004,6995.0,60.0,30.0,20.0,1.5,760.0,50.2,19.0,10.221941283654663
1,1012,8420.0,0.5502079619726679,0.44979203802733214,0.05291319857312723,0.13852556480380498,0.5196195005945303,0.20392390011890607,0.0850178359096314,696.6,2467.1000000000004,3371.5,8458.0,50.0,40.0,20.0,1.4,420.0,56.1,14.6,10.1226230824528
2,1013,21335.0,0.49777361143660653,0.5022263885633935,0.11972820993439551,0.08598875351452671,0.36457357075913777,0.28537956888472354,0.14432989690721648,126.5,1486.1,2979.1000000000004,6378.0,50.0,20.0,20.0,1.7,2485.0,53.6,17.1,10.210972252284089
3,1014,1745.0,0.5358166189111748,0.46418338108882523,0.17478510028653296,0.06303724928366762,0.5100286532951289,0.20916905444126074,0.04297994269340974,26.0,445.8,2174.2,2901.0,60.0,20.0,10.0,1.9,145.0,31.8,29.6,10.613983371430686
4,1015,14885.0,0.50990930466913,0.49009069533087,0.08599261001007726,0.10480349344978165,0.3560631508229761,0.2875377897211958,0.1656029559959691,357.1,2270.9,3348.5,11009.0,60.0,30.0,10.0,1.5,1230.0,51.1,19.7,10.221941283654663
5,1016,10915.0,0.5176362803481448,0.48236371965185526,0.0728355474118186,0.10123683005038937,0.38937242327072835,0.2693540998625744,0.16720109940448924,492.0,2661.3,3428.5,11324.0,60.0,30.0,10.0,1.5,730.0,48.6,22.0,10.261161996807944
6,1017,12640.0,0.5253164556962026,0.47468354430379744,0.08979430379746836,0.12539556962025317,0.40308544303797467,0.2456487341772152,0.1360759493670886,331.8,2664.2,3432.7,9364.0,60.0,30.0,10.0,1.6,545.0,41.7,27.2,10.3797217315325
7,1018,20920.0,0.5112332695984704,0.4887667304015296,0.10133843212237094,0.12380497131931166,0.3448852772466539,0.2827437858508604,0.14722753346080306,85.19999999999999,1769.8,3114.5,6899.0,60.0,20.0,20.0,1.6,2325.0,50.2,19.3,10.225571051705241
8,1019,18910.0,0.5035704839989421,0.49642951600105795,0.1483342147012163,0.10338445267054469,0.3093601269169751,0.34531993654151244,0.09360126916975145,20.8,447.0,2269.7000000000003,4304.0,60.0,20.0,20.0,2.0,1530.0,31.7,30.9,10.623763400484325
9,1021,7110.0,0.5126582278481012,0.4873417721518987,0.14767932489451477,0.11392405063291139,0.35372714486638535,0.2651195499296765,0.11954992967651196,27.6,100.8,793.5,2793.0,40.0,20.0,50.0,1.8,1260.0,63.9,7.2,10.077440859659566
