pc4,labels
1011,0
1012,0
1013,0
1014,0
1015,0
1016,0
1017,0
1018,0
1019,0
1021,0
1022,0
1023,0
1024,0
1025,0
1026,1
1027,1
1028,1
1031,0
1032,0
1033,0
1034,0
1035,0
1036,1
1037,1
1041,0
1042,0
1043,0
1044,1
1045,0
1046,0
1047,0
1051,0
1052,0
1053,0
1054,0
1055,0
1056,0
1057,0
1058,0
1059,0
1060,0
1061,0
1062,0
1063,0
1064,0
1065,0
1066,0
1067,0
1068,0
1069,0
1071,0
1072,0
1073,0
1074,0
1075,0
1076,0
1077,0
1078,0
1079,0
1081,0
1082,0
1083,0
1086,1
1087,0
1091,0
1092,0
1093,0
1094,0
1095,0
1096,0
1097,0
1098,0
1101,0
1102,0
1103,0
1104,0
1105,0
1106,0
1107,0
1108,0
1109,1
1111,0
1112,0
1113,0
1114,0
1115,0
1117,1
1118,0
1119,0
1121,0
1127,1
1131,1
1132,1
1135,1
1141,0
1145,1
1151,1
1153,1
1154,1
1156,1
1161,0
1165,0
1171,0
1175,1
1181,0
1182,0
1183,0
1184,1
1185,0
1186,0
1187,0
1188,0
1189,1
1191,1
1211,0
1212,0
1213,1
1214,0
1215,0
1216,0
1217,1
1218,1
1221,0
1222,0
1223,0
1231,0
1241,1
1243,0
1244,1
1251,0
1252,1
1261,0
1262,1
1271,0
1272,1
1273,0
1274,0
1275,0
1276,0
1277,1
1309,1
1311,0
1312,0
1313,0
1314,0
1315,0
1316,0
1317,0
1318,0
1319,1
1321,0
1322,1
1323,0
1324,0
1325,0
1326,0
1327,1
1328,0
1329,0
1331,0
1332,0
1333,0
1334,0
1335,0
1336,1
1338,0
1339,0
1341,1
1343,1
1349,1
1351,1
1352,0
1353,0
1354,0
1355,0
1356,0
1357,0
1358,1
1359,1
1361,1
1362,1
1363,0
1381,1
1382,0
1383,1
1384,1
1391,1
1393,1
1394,1
1396,1
1398,1
1399,1
1401,1
1402,0
1403,0
1404,0
1405,1
1406,1
1411,0
1412,1
1421,0
1422,0
1423,1
1424,1
1426,1
1427,1
1428,1
1431,0
1432,1
1433,1
1435,0
1436,1
1437,0
1438,1
1441,0
1442,0
1443,0
1444,1
1445,0
1446,0
1447,0
1448,0
1451,1
1452,1
1454,1
1456,1
1458,1
1461,1
1462,1
1463,1
1464,1
1471,1
1472,1
1473,1
1474,1
1475,1
1476,0
1477,1
1481,0
1482,0
1483,1
1484,1
1485,1
1486,1
1487,1
1488,1
1489,0
1501,0
1502,0
1503,0
1504,0
1505,0
1506,0
1507,0
1508,0
1509,0
1511,0
1521,0
1525,1
1531,0
1534,1
1536,1
1541,0
1544,0
1546,1
1551,1
1561,0
1562,0
1566,0
1567,1
1601,0
1602,0
1606,1
1607,1
1608,1
1609,1
1611,0
1613,0
1614,1
1616,1
1617,1
1619,1
1621,0
1622,0
1623,0
1624,0
1625,0
1627,0
1628,0
1631,1
1633,1
1634,1
1636,1
1641,1
1642,1
1643,0
1645,1
1646,1
