pc4,labels
1011,1
1012,1
1013,1
1014,0
1015,1
1016,1
1017,1
1018,1
1019,0
1021,0
1022,0
1023,1
1024,0
1025,0
1026,0
1027,1
1028,0
1031,1
1032,0
1033,0
1034,0
1035,0
1036,0
1037,1
1041,1
1042,1
1043,0
1044,1
1045,1
1046,0
1047,1
1051,1
1052,1
1053,1
1054,1
1055,1
1056,1
1057,1
1058,1
1059,1
1060,0
1061,1
1062,1
1063,1
1064,1
1065,1
1066,0
1067,1
1068,1
1069,1
1071,1
1072,1
1073,1
1074,1
1075,1
1076,1
1077,0
1078,1
1079,1
1081,0
1082,1
1083,0
1086,0
1087,0
1091,1
1092,1
1093,1
1094,1
1095,1
1096,0
1097,1
1098,0
1101,0
1102,1
1103,1
1104,1
1105,0
1106,0
1107,0
1108,0
1109,1
1111,0
1112,0
1113,1
1114,0
1115,0
1117,1
1118,1
1119,0
1121,0
1127,0
1131,1
1132,0
1135,1
1141,0
1145,0
1151,0
1153,0
1154,1
1156,1
1161,1
1165,1
1171,0
1175,1
1181,0
1182,1
1183,0
1184,0
1185,0
1186,0
1187,0
1188,0
1189,1
1191,0
1211,0
1212,0
1213,0
1214,0
1215,0
1216,1
1217,0
1218,1
1221,0
1222,0
1223,0
1231,0
1241,1
1243,1
1244,0
1251,0
1252,0
1261,0
1262,0
1271,1
1272,0
1273,1
1274,1
1275,1
1276,1
1277,0
1309,1
1311,0
1312,0
1313,0
1314,0
1315,0
1316,0
1317,0
1318,0
1319,0
1321,0
1322,1
1323,0
1324,0
1325,0
1326,0
1327,1
1328,0
1329,1
1331,1
1332,0
1333,0
1334,0
1335,0
1336,0
1338,0
1339,0
1341,0
1343,0
1349,0
1351,1
1352,1
1353,0
1354,0
1355,0
1356,0
1357,0
1358,0
1359,0
1361,0
1362,0
1363,0
1381,1
1382,0
1383,1
1384,0
1391,0
1393,0
1394,0
1396,0
1398,1
1399,0
1401,0
1402,0
1403,1
1404,0
1405,0
1406,1
1411,0
1412,0
1421,1
1422,0
1423,0
1424,0
1426,0
1427,0
1428,1
1431,1
1432,0
1433,0
1435,1
1436,1
1437,1
1438,1
1441,1
1442,0
1443,0
1444,1
1445,1
1446,1
1447,0
1448,0
1451,0
1452,1
1454,0
1456,0
1458,1
1461,0
1462,1
1463,0
1464,0
1471,0
1472,0
1473,1
1474,1
1475,0
1476,1
1477,1
1481,1
1482,1
1483,1
1484,1
1485,1
1486,1
1487,1
1488,0
1489,1
1501,0
1502,0
1503,0
1504,0
1505,0
1506,0
1507,0
1508,0
1509,1
1511,0
1521,1
1525,0
1531,1
1534,0
1536,0
1541,1
1544,1
1546,0
1551,0
1561,1
1562,0
1566,0
1567,0
1601,1
1602,1
1606,1
1607,1
1608,0
1609,1
1611,0
1613,1
1614,1
1616,1
1617,0
1619,1
1621,1
1622,0
1623,1
1624,1
1625,1
1627,1
1628,0
1631,0
1633,1
1634,1
1636,1
1641,1
1642,1
1643,0
1645,1
1646,1
1647,0
1648,0
1652,0
1654,1
1655,1
1657,1
1658,1
1661,0
1662,1
1663,1
1671,1
1674,1
1676,1
1678,1
1679,1
1681,1
1682,1
1683,0
1684,0
1685,0
1686,1
1687,0
1688,1
1689,0
1691,0
1692,1
1693,1
1695,1
1696,0
1697,1
1701,1
1702,1
1703,1
1704,0
1705,0
1706,0
1711,1
1713,1
1715,1
1716,1
1718,1
1719,1
1721,0
1722,0
1723,1
1724,1
1731,0
1732,1
1733,1
1734,0
1735,1
1736,0
1738,0
1741,1
1742,1
1744,1
1746,1
1747,1
1749,0
1751,0
1752,0
1753,1
1754,1
1755,1
1756,1
1757,1
1759,1
1761,1
1764,1
1766,1
1767,1
1768,1
1769,1
1771,1
1773,1
1774,0
1775,1
1777,1
1778,1
1779,1
1781,1
1782,1
1783,0
1784,0
1785,0
1786,1
1787,1
1788,0
1789,1
1791,1
1792,1
1793,1
1794,1
1795,1
1796,1
1797,1
1811,1
1812,1
1813,0
1814,1
1815,0
1816,0
1817,1
1821,0
1822,0
1823,1
1824,1
1825,1
1826,1
1827,1
1829,1
1831,1
1832,0
1834,0
1841,0
1842,0
1843,1
1844,1
1846,1
1847,1
1851,0
1852,0
1853,0
1861,1
1862,1
1865,1
1871,1
1873,1
1901,0
1902,0
1906,0
1911,0
1921,0
1931,1
1934,0
1935,1
1941,0
1942,1
1943,1
1944,1
1945,0
1946,0
1947,0
1948,0
1949,1
1951,0
1961,1
1962,0
1963,0
1964,1
1965,0
1966,0
1967,0
1968,1
1969,0
1971,1
1972,0
1973,0
1974,0
1975,0
1976,1
1981,1
1985,0
1991,0
1992,0
2011,0
2012,0
2013,0
2014,0
2015,0
2019,0
2021,0
2022,0
2023,0
2024,0
2025,1
2026,0
2031,0
2032,0
2033,0
2034,0
2035,0
2036,0
2037,0
2041,1
2042,1
2051,0
2061,0
2063,1
2064,0
2065,0
2071,0
2082,1
2101,0
2102,0
2103,0
2104,1
2105,1
2106,0
2111,0
2114,1
2116,1
2121,1
2131,0
2132,0
2133,0
2134,0
2135,0
2136,0
2141,0
2142,1
2143,1
2144,0
2151,0
2152,0
2153,1
2154,1
2155,1
2156,1
2157,1
2158,1
2159,1
2161,1
2162,0
2163,1
2165,0
2171,0
2172,1
2181,1
2182,0
2191,1
2201,0
2202,1
2203,1
2204,1
2211,1
2212,1
2215,0
2216,0
2221,1
2222,1
2223,0
2224,1
2225,0
2231,0
2232,1
2235,0
2241,0
2242,0
2243,1
2244,0
2245,1
2251,0
2252,0
2253,0
2254,0
2261,1
2262,0
2263,0
2264,0
2265,1
2266,1
2267,0
2271,0
2272,0
2273,0
2274,0
2275,0
2281,0
2282,0
2283,0
2284,0
2285,0
2286,0
2287,0
2288,0
2289,1
2291,0
2292,0
2295,1
2311,0
2312,1
2313,0
2314,0
2315,0
2316,0
2317,0
2318,0
2321,0
2322,0
2323,1
2324,0
2331,0
2332,0
2333,0
2334,0
2341,0
2342,0
2343,0
2351,0
2352,0
2353,0
2355,0
2361,1
2362,1
2371,1
2374,0
2375,0
2376,0
2377,0
2381,0
2382,0
2391,0
2394,1
2396,1
2401,0
2402,0
2403,0
2404,0
2405,0
2406,0
2407,0
2408,0
2409,1
2411,0
2412,0
2415,0
2421,0
2431,0
2432,1
2435,0
2441,0
2445,0
2451,1
2461,0
2465,1
2471,0
2481,0
2491,0
2492,0
2493,0
2495,1
2496,0
2497,0
2498,0
2511,1
2512,1
2513,1
2514,1
2515,1
2516,1
2517,0
2518,1
2521,1
2522,1
2523,1
2524,1
2525,1
2526,1
2531,1
2532,1
2533,1
2541,1
2542,0
2543,0
2544,0
2545,1
2546,0
2547,0
2548,0
2551,0
2552,0
2553,1
2554,1
2555,0
2561,1
2562,1
2563,1
2564,0
2565,0
2566,0
2571,1
2572,1
2573,1
2574,1
2581,0
2582,0
2583,0
2584,0
2585,0
2586,0
2587,0
2591,0
2592,0
2593,0
2594,0
2595,1
2596,0
2597,0
2611,0
2612,0
2613,0
2614,0
2616,1
2622,0
2623,1
2624,0
2625,0
2626,1
2627,1
2628,0
2629,0
2631,0
2632,0
2635,0
2636,0
2641,0
2642,0
2643,0
2645,0
2651,0
2652,0
2661,0
2662,0
2665,0
2671,1
2672,0
2673,0
2675,0
2676,1
2678,0
2681,0
2684,0
