pc4,labels
1011,1
1012,1
1013,1
1014,1
1015,1
1016,1
1017,1
1018,1
1019,1
1021,1
1022,1
1023,1
1024,1
1025,1
1026,1
1027,1
1028,1
1031,1
1032,1
1033,1
1034,1
1035,1
1036,1
1037,1
1041,1
1042,1
1043,1
1044,1
1045,1
1046,1
1047,1
1051,1
1052,1
1053,1
1054,1
1055,1
1056,1
1057,1
1058,1
1059,1
1060,1
1061,1
1062,1
1063,1
1064,1
1065,1
1066,1
1067,1
1068,1
1069,1
1071,1
1072,1
1073,1
1074,1
1075,1
1076,1
1077,1
1078,1
1079,1
1081,1
1082,1
1083,1
1086,1
1087,1
1091,1
1092,1
1093,1
1094,1
1095,1
1096,1
1097,1
1098,1
1101,1
1102,1
1103,1
1104,1
1105,1
1106,1
1107,1
1108,1
1109,1
1111,1
1112,1
1113,1
1114,1
1115,1
1117,1
1118,1
1119,1
1121,1
1127,1
1131,1
1132,1
1135,1
1141,1
1145,1
1151,1
1153,1
1154,1
1156,1
1161,1
1165,1
1171,1
1175,1
1181,1
1182,1
1183,1
1184,1
1185,1
1186,1
1187,1
1188,1
1189,1
1191,1
1211,1
1212,1
1213,1
1214,1
1215,1
1216,1
1217,1
1218,1
1221,1
1222,1
1223,1
1231,1
1241,1
1243,1
1244,1
1251,1
1252,1
1261,1
1262,1
1271,1
1272,1
1273,1
1274,1
1275,1
1276,1
1277,1
1309,1
1311,1
1312,1
1313,1
1314,1
1315,1
1316,1
1317,1
1318,1
1319,1
1321,1
1322,1
1323,1
1324,1
1325,1
1326,1
1327,1
1328,1
1329,1
1331,1
1332,1
1333,1
1334,1
1335,1
1336,1
1338,1
1339,1
1341,1
1343,1
1349,1
1351,1
1352,1
1353,1
1354,1
1355,1
1356,1
1357,1
1358,1
1359,1
1361,1
1362,1
1363,1
1381,1
1382,1
1383,1
1384,1
1391,1
1393,1
1394,1
1396,1
1398,1
1399,1
1401,1
1402,1
1403,1
1404,1
1405,1
1406,1
1411,1
1412,1
1421,1
1422,1
1423,1
1424,1
1426,1
1427,1
1428,1
1431,1
1432,1
1433,1
1435,1
1436,1
1437,1
1438,1
1441,1
1442,1
1443,1
1444,1
1445,1
1446,1
1447,1
1448,1
1451,1
1452,1
1454,1
1456,1
1458,1
1461,1
1462,1
1463,1
1464,1
1471,1
1472,1
1473,1
1474,1
1475,1
1476,1
1477,1
1481,1
1482,1
1483,1
1484,1
1485,1
1486,1
1487,1
1488,1
1489,1
1501,1
1502,1
1503,1
1504,1
1505,1
1506,1
1507,1
1508,1
1509,1
1511,1
1521,1
1525,1
1531,1
1534,1
1536,1
1541,1
1544,1
1546,1
1551,1
1561,1
1562,1
1566,1
1567,1
1601,1
1602,1
1606,1
1607,1
1608,1
1609,1
1611,1
1613,1
1614,1
1616,1
1617,1
1619,1
1621,1
1622,1
1623,1
1624,1
1625,1
1627,1
1628,1
1631,1
1633,1
1634,1
1636,1
1641,1
1642,1
1643,1
1645,1
1646,1
1647,1
1648,1
1652,1
1654,1
1655,1
1657,1
1658,1
1661,1
1662,1
1663,1
1671,1
1674,1
1676,1
1678,1
1679,1
1681,1
1682,1
1683,1
1684,1
1685,1
1686,1
1687,1
1688,1
1689,1
1691,1
1692,1
1693,1
1695,1
1696,1
1697,1
1701,1
1702,1
1703,1
1704,1
1705,1
1706,1
1711,1
1713,1
1715,1
1716,1
1718,1
1719,1
1721,1
1722,1
1723,1
1724,1
1731,1
1732,1
1733,1
1734,1
1735,1
1736,1
1738,1
1741,1
1742,1
1744,1
1746,1
1747,1
1749,1
1751,1
1752,1
1753,1
1754,1
1755,1
1756,1
1757,1
1759,1
1761,1
1764,1
1766,1
1767,1
1768,1
1769,1
1771,1
1773,1
1774,1
1775,1
1777,1
1778,1
1779,1
1781,1
1782,1
1783,1
1784,1
1785,1
1786,1
1787,1
1788,1
1789,1
1791,1
1792,1
1793,1
1794,1
1795,1
1796,1
1797,1
1811,1
1812,1
1813,1
1814,1
1815,1
1816,1
1817,1
1821,1
1822,1
1823,1
1824,1
1825,1
1826,1
1827,1
1829,1
1831,1
1832,1
1834,1
1841,1
1842,1
1843,1
1844,1
1846,1
1847,1
1851,1
1852,1
1853,1
1861,1
1862,1
1865,1
1871,1
1873,1
1901,1
1902,1
1906,1
1911,1
1921,1
1931,1
1934,1
1935,1
1941,1
1942,1
1943,1
1944,1
1945,1
1946,1
1947,1
1948,1
1949,1
1951,1
1961,1
1962,1
1963,1
1964,1
1965,1
1966,1
1967,1
1968,1
1969,1
1971,1
1972,1
1973,1
1974,1
1975,1
1976,1
1981,1
1985,1
1991,1
1992,1
2011,1
2012,1
2013,1
2014,1
2015,1
2019,1
2021,1
2022,1
2023,1
2024,1
2025,1
2026,1
2031,1
2032,1
2033,1
2034,1
2035,1
2036,1
2037,1
2041,1
2042,1
2051,1
2061,1
2063,1
2064,1
2065,1
2071,1
2082,1
2101,1
2102,1
2103,1
2104,1
2105,1
2106,1
2111,1
2114,1
2116,1
2121,1
2131,1
2132,1
2133,1
2134,1
2135,1
2136,1
2141,1
2142,1
2143,1
2144,1
2151,1
2152,1
2153,1
2154,1
2155,1
2156,1
2157,1
2158,1
2159,1
2161,1
2162,1
2163,1
2165,1
2171,1
2172,1
2181,1
2182,1
2191,1
2201,1
2202,1
2203,1
2204,1
2211,1
2212,1
2215,1
2216,1
2221,1
2222,1
2223,1
2224,1
2225,1
2231,1
2232,1
2235,1
2241,1
2242,1
2243,1
2244,1
2245,1
2251,1
2252,1
2253,1
2254,1
2261,1
2262,1
2263,1
2264,1
2265,1
2266,1
2267,1
2271,1
2272,1
2273,1
2274,1
2275,1
2281,1
2282,1
2283,1
2284,1
2285,1
2286,1
2287,1
2288,1
2289,1
2291,1
2292,1
2295,1
2311,1
2312,1
2313,1
2314,1
2315,1
2316,1
2317,1
2318,1
2321,1
2322,1
2323,1
2324,1
2331,1
2332,1
2333,1
2334,1
2341,1
2342,1
2343,1
2351,1
2352,1
2353,1
2355,1
2361,1
2362,1
2371,1
2374,1
2375,1
2376,1
2377,1
2381,1
2382,1
2391,1
2394,1
2396,1
2401,1
2402,1
2403,1
2404,1
2405,1
2406,1
2407,1
2408,1
2409,1
2411,1
2412,1
2415,1
2421,1
2431,1
2432,1
2435,1
2441,1
2445,1
2451,1
2461,1
2465,1
2471,1
2481,1
2491,1
2492,1
2493,1
2495,1
2496,1
2497,1
2498,1
2511,1
2512,1
2513,1
2514,1
2515,1
2516,1
2517,1
2518,1
2521,1
2522,1
2523,1
2524,1
2525,1
2526,1
2531,1
2532,1
2533,1
2541,1
2542,1
2543,1
2544,1
2545,1
2546,1
2547,1
2548,1
2551,1
2552,1
2553,1
2554,1
2555,1
2561,1
2562,1
2563,1
2564,1
2565,1
2566,1
2571,1
2572,1
2573,1
2574,1
2581,1
2582,1
2583,1
2584,1
2585,1
2586,1
2587,1
2591,1
2592,1
2593,1
2594,1
2595,1
2596,1
2597,1
2611,1
2612,1
2613,1
2614,1
2616,1
2622,1
2623,1
2624,1
2625,1
2626,1
2627,1
2628,1
2629,1
2631,1
2632,1
2635,1
2636,1
2641,1
2642,1
2643,1
2645,1
2651,1
2652,1
2661,1
2662,1
2665,1
2671,1
2672,1
2673,1
2675,1
2676,1
2678,1
2681,1
2684,1
